node,content_length
Funkadelic,2978
Parliament-Funkadelic,5275
AllMusic,2166
Slayer,26396
Metallica,35346
Megadeth,30510
Sepultura,15291
Pantera,17133
Volbeat,6714
Aerosmith,31487
Ted_Nugent,18951
Ramones,19319
Nickelback,13664
Great_White,9899
Whitesnake,27830
Ratt,7696
Days_of_the_New,6533
Keane_(band),10438
Coldplay,47773
U2,43676
Jimmy_Eat_World,8242
Radiohead,34494
Flogging_Molly,2886
Weezer,27358
Simple_Plan,10643
Blink-182,23046
AC/DC,104
Foreigner_(band),12486
Steppenwolf_(band),4074
Joe_Walsh,12411
Hoobastank,5057
Guns_N'_Roses,61491
Soundgarden,20969
Beck,19713
Buckcherry,5191
Hinder,6754
Roxy_Music,9978
Limp_Bizkit,31377
Korn,30647
Deftones,21196
Staind,7774
P.O.D.,8241
Run-DMC,9279
R.E.M.,20400
Midnight_Oil,18493
INXS,15131
Silverchair,15715
Awolnation,9822
Dio_(band),5285
Marilyn_Manson,37046
Rammstein,17238
Mudvayne,8162
Thirty_Seconds_to_Mars,11102
Audioslave,13954
Black_Stone_Cherry,3268
Shinedown,13059
Halestorm,6556
Herman's_Hermits,6933
Morrissey,31148
Manfred_Mann's_Earth_Band,7207
The_Pretenders,4807
Ghost_(Swedish_band),26990
ABBA,25290
10cc,11359
Eric_Clapton,32660
Kiss_(band),28153
Slade,21443
Pearl_Jam,21890
Billy_Talent,8075
Paramore,31019
Starset,8699
Seether,7621
Jack_White,23193
Queensrÿche,13020
Alanis_Morissette,19309
Evanescence,29865
The_Marshall_Tucker_Band,8687
Steve_Vai,18304
George_Thorogood,6698
Lamb_of_God_(band),15765
Peter_Frampton,9892
Dire_Straits,13013
Linkin_Park,39379
The_Moody_Blues,14425
Donovan,12169
Black_Sabbath,30933
Godsmack,14710
Our_Lady_Peace,9904
Asia_(band),9917
John_Mayall,6692
Steve_Winwood,8951
Kid_Rock,18677
Styx_(band),9275
Small_Faces,8384
Hootie_&_the_Blowfish,4875
Boys_Like_Girls,9972
Kansas_(band),7881
Cheap_Trick,7457
Ozzy_Osbourne,29058
Cold_Chisel,12319
Chubby_Checker,7988
New_York_Dolls,11297
Elton_John,41947
Def_Leppard,16909
Badfinger,15639
The_Cure,17152
Ringo_Starr,24758
Joan_Jett,11995
Snow_Patrol,10983
Talking_Heads,9078
Breaking_Benjamin,17028
Dave_Matthews_Band,12929
The_Fray,9273
Theory_of_a_Deadman,6609
Van_Halen,18201
Van_Morrison,32560
Judas_Priest,23443
Jefferson_Starship,10589
The_Smashing_Pumpkins,22175
Harry_Nilsson,9046
Bob_Dylan,43255
ZZ_Top,10578
Highly_Suspect,5307
Skillet_(band),12443
Peter_Gabriel,20837
Icehouse_(band),10361
Hole_(band),17246
Tenacious_D,18749
Sex_Pistols,19543
Avenged_Sevenfold,16988
Live_(band),5936
10_Years_(band),4872
Muse_(band),15692
Adam_Ant,16068
Bullet_for_My_Valentine,20365
Bee_Gees,24332
Lifehouse_(band),6815
Filter_(band),8502
Pixies_(band),15286
The_Fixx,2025
Gary_Glitter,14930
The_Four_Seasons_(band),15608
Tracy_Chapman,7176
Anthrax_(American_band),14828
Dashboard_Confessional,6270
The_Who,30083
Fuel_(band),6027
Fun_(band),4279
Linda_Ronstadt,30580
Bad_Company,5850
Imagine_Dragons,18109
Trivium_(band),14288
Counting_Crows,9707
The_Outfield,6586
FireHouse,3827
Bruce_Springsteen,34284
Genesis_(band),25444
X_Ambassadors,5870
Steve_Miller_Band,4840
Alice_Cooper,29220
Good_Charlotte,13088
Rush_(band),27230
Supertramp,8477
Nine_Inch_Nails,37991
Tom_Petty_and_the_Heartbreakers,6975
"Crosby,_Stills,_Nash_&_Young",16159
The_Offspring,15071
Papa_Roach,17691
Mötley_Crüe,31951
Florence_and_the_Machine,17782
Everclear_(band),6377
Catfish_and_the_Bottlemen,10352
Finger_Eleven,6092
Ten_Years_After,3187
Traveling_Wilburys,10630
Train_(band),12593
Iggy_Pop,18070
Crowded_House,11358
Blur_(band),13628
The_Doobie_Brothers,11568
John_Mellencamp,15769
The_Allman_Brothers_Band,13556
Primus_(band),14924
Montgomery_Gentry,9140
Death_Cab_for_Cutie,10610
Simon_&_Garfunkel,13424
Gene_Vincent,7932
Cinderella_(band),4347
Fall_Out_Boy,38898
Jane's_Addiction,14842
The_Pretty_Reckless,14356
The_All-American_Rejects,9664
The_J._Geils_Band,5387
George_Harrison,27490
Thin_Lizzy,14804
Rise_Against,18290
Steely_Dan,10619
America_(band),8810
Lacuna_Coil,7424
Gin_Blossoms,5128
Everlast,4502
Chevelle_(band),16491
AFI_(band),10099
Pat_Benatar,9725
Loverboy,3904
Buddy_Holly,13253
Arcade_Fire,17567
Stevie_Ray_Vaughan,16974
T._Rex_(band),10787
Kings_of_Leon,8082
Heart_(band),13397
